Population	coverage	NO3-N
970	0.635670404	90
1003	0.39769942	6.855737705
1033	0.22551341	8.267213115
1063	0.6198923	43.35245902
1094	0.14189705	17.2
1117	0.07076974	0
1147	0.50904061	8
1180	0.25268026	22.97355372
1240	0.11203764	6.302479339
1270	0.13362644	6.473684211
1300	0.15878021	8.556521739
1331	0.12278276	13.69043478
1363	0.822933409	61.61284404
1547	0.13267647	30.64918033
1701	0.23118256	4.754621849
1731	0.23118256	5.994957983
1761	0.4478324	17.57142857
1791	0.50904061	54.78151261
2001	0.85562887	5.610526316
2250	0.32589437	107.3843478
